common_name,train_count,test_count,total_count
Brownish Flycatcher,2,0,2
Brownish-flanked Bush-Warbler,14,5,19
Brubru,1,0,1
Bruner Longwing,2,0,2
Brush Bronzewing,3,0,3
Brush Cuckoo,9,15,24
Brushland Tinamou,3,0,3
Buckell's Grig,1,0,1
Buckley's Forest Falcon,2,0,2
Buff-banded Rail,4,0,4
Buff-banded Tyrannulet,1,0,1
Buff-bellied Hummingbird,3,0,3
Buff-bellied Puffbird,1,0,1
Buff-breasted Babbler,1,0,1
Buff-breasted Flycatcher,1,0,1
Buff-breasted Wren,8,0,8
Buff-browed Chachalaca,1,0,1
Buff-browed Foliage-gleaner,9,0,9
Buff-cheeked Greenlet,2,0,2
Buff-collared Nightjar,12,0,12
Buff-faced Scrubwren,1,0,1
Buff-fronted Foliage-gleaner,3,0,3
Buff-fronted Owl,1,0,1
Buff-necked Ibis,5,0,5
Buff-rumped Thornbill,3,0,3
Buff-rumped Warbler,9,0,9
Buff-spotted Flufftail,4,0,4
Buff-tailed Bumblebee,3,0,3
Buff-throated Purpletuft,1,0,1
Buff-throated Saltator,10,0,10
Buff-throated Warbling-Finch,1,0,1
Buff-throated Woodcreeper,5,0,5
Bufflehead,4,0,4
Buffy Laughingthrush,1,0,1
Buffy-crowned Wood Partridge,3,0,3
Buffy-fronted Seedeater,2,0,2
Bull-headed Shrike,1,0,1
Buller's Shearwater,1,0,1
Bullock's Oriole,50,20,70
Burchell's Sandgrouse,1,0,1
Burmeister's Tree Frog,2,0,2
Burnished-buff Tanager,4,0,4
Burrowing Owl,28,22,50
Burrowing Parakeet,6,8,14
Bush Cicada,5,0,5
Bush Squeaker,17,5,22
Bush Stone-curlew,6,8,14
Bushtit,145,76,221
Bushveld Rain Frog,2,0,2
Bushy-crested Jay,11,0,11
Bushy-tailed Wood Rat,1,0,1
Butler's Ricefrog,2,0,2
Caatinga Antwren,2,0,2
Cabanis's Spinetail,1,0,1
Cabanis's Wren,23,6,29
Cachabi Robber Frog,2,0,2
Cackling Goose,18,32,50
Cacomistle,3,0,3
Cactus Parakeet,1,0,1
Cactus Wren,33,59,92
Caica Parrot,1,0,1
Cajamarca Antpitta,1,0,1
Cajun Chorus Frog,114,37,151
Calandra Lark,4,0,4
California Gnatcatcher,23,31,54
California Ground Squirrel,54,23,77
California Gull,2,0,2
California Prionus,1,0,1
California Quail,170,97,267
California Scrub-Jay,173,100,273
California Sea Lion,25,10,35
California Thrasher,132,100,232
California Towhee,104,74,178
California Treefrog,9,5,14
Calliope Hummingbird,1,0,1
Camp's Chirping Frog,89,23,112
Campo Flicker,7,0,7
Campo Troupial,3,0,3
Canada Goose,478,100,578
Canada Warbler,92,60,152
Canadian Cicada,19,0,19
Canadian Toad,2,0,2
Canary Flyrobin,1,0,1
Canary Islands Chiffchaff,1,0,1
Canyon Towhee,43,16,59
Canyon Tree Frog,5,14,19
Canyon Wren,113,55,168
Cape Batis,12,0,12
Cape Bulbul,8,5,13
Cape Bunting,4,0,4
Cape Canary,5,0,5
Cape Clapper Lark,1,0,1
Cape Crombec,9,0,9
Cape Crow,4,0,4
Cape Dainty Frog,7,0,7
Cape Fox,2,0,2
Cape Grassbird,19,14,33
Cape Grey Mongoose,1,0,1
Cape May Warbler,36,8,44
Cape River Frog,6,5,11
Cape Robin-Chat,23,18,41
Cape Rockjumper,2,0,2
Cape Rockthrush,7,0,7
Cape Sea-Eagle,3,0,3
Cape Siskin,3,0,3
Cape Sparrow,8,0,8
Cape Spurfowl,2,0,2
Cape Sugarbird,3,0,3
Cape Turtle Dove,12,16,28
Cape Verde Sparrow,1,0,1
Cape Wagtail,10,0,10
Cape Weaver,5,0,5
Cape White-eye,18,7,25
Cape sand frog,26,15,41
Capuchinbird,5,0,5
Capybara,2,0,2
Caramaschi's Hatchet-faced Tree Frog,1,0,1
Cardinal Woodpecker,2,0,2
Carib Grackle,14,0,14
Caribbean Elaenia,2,0,2
Caribbean Meadow Katydid,2,0,2
Caribbean White-lipped Frog,17,32,49
Carnaby's Black Cockatoo,6,5,11
Carolina Chickadee,406,100,506
Carolina Ground Cricket,40,6,46
Carolina Wren,1000,100,1100
Carpenter Frog,15,10,25
Carpenter Sawyer Beetle,1,0,1
Carrion Crow,178,100,278
Carruthers' Rain Frog,1,0,1
Carthaginian Tree Frog,1,0,1
Cascade Tree Frog,1,0,1
Caspian Gull,6,0,6
Caspian Snowcock,1,0,1
Caspian Tern,20,7,27
Casqued Oropendola,2,0,2
Cassidy's Poison Dart Frog,1,0,1
Cassin's 13-Year Cicada,2,0,2
Cassin's Finch,22,8,30
Cassin's Flycatcher,1,0,1
Cassin's Kingbird,45,35,80
Cassin's Sparrow,18,13,31
Cassin's Vireo,76,34,110
Cassinia Cicada,4,0,4
Castelnau's Antshrike,3,0,3
Cattail Conehead,1,0,1
Cattle Egret,2,0,2
Cattle Tyrant,5,0,5
Cauca Guan,2,0,2
Caucasian Squirrel,3,0,3
Cave Swallow,6,0,6
Cedar Waxwing,155,100,255
Cederberg Ghost Frog,3,0,3
Central American Gulf Coast Toad,4,0,4
Central American Spider Monkey,3,0,3
Central American Squirrel Monkey,2,0,2
Central American white-faced capuchin,1,0,1
Central Texas Leaf-Katydid,23,0,23
Cerro Socopo Fingered Poison Frog,1,0,1
Cerulean Warbler,69,36,105
Cetti's Warbler,85,100,185
Chachapoyas Antpitta,1,0,1
Chacma Baboon,4,0,4
Chaco Chachalaca,6,0,6
Chaco Earthcreeper,11,0,11
Chaco Horned Frog,1,0,1
Chaco Owl,1,0,1
Chacoan Horned Frog,1,0,1
Chacoan Tropical Bullfrog,1,0,1
Chaffinch,1000,100,1100
Chalk-browed Mockingbird,37,9,46
Chami Antpitta,2,0,2
Channel-billed Cuckoo,25,36,61
Channel-billed Toucan,13,7,20
Chapman's Antshrike,1,0,1
Chapman's Swift,1,0,1
Chattering Cisticola,4,0,4
Checkered Woodpecker,6,0,6
Cherry-throated Tanager,1,0,1
Cherrynose,26,0,26
Chestnut Antpitta,1,0,1
Chestnut Bulbul,17,6,23
Chestnut Piculet,1,0,1
Chestnut Seedeater,1,0,1
Chestnut Wattle-eye,2,0,2
Chestnut Wood Quail,2,0,2
Chestnut-backed Antbird,7,11,18
Chestnut-backed Antshrike,10,0,10
Chestnut-backed Chickadee,209,65,274
Chestnut-backed Scimitar-Babbler,1,0,1
Chestnut-bellied Euphonia,3,0,3
Chestnut-bellied Fantail,1,0,1
Chestnut-bellied Flowerpiercer,1,0,1
Chestnut-bellied Mountain-Tanager,1,0,1
Chestnut-bellied Seed-Finch,3,0,3
Chestnut-bellied Seedeater,2,0,2
Chestnut-breasted Quail-thrush,1,0,1
Chestnut-breasted Wren,6,0,6
Chestnut-capped Blackbird,12,5,17
Chestnut-capped Brushfinch,6,0,6
Chestnut-capped Foliage-gleaner,1,0,1
Chestnut-capped Piha,1,0,1
Chestnut-capped Warbler,6,0,6
Chestnut-cheeked Starling,1,0,1
Chestnut-collared Longspur,2,0,2
Chestnut-colored Woodpecker,1,0,1
Chestnut-crested Puffbird,2,0,2
Chestnut-crowned Antpitta,17,8,25
Chestnut-crowned Becard,4,0,4
Chestnut-crowned Foliage-gleaner,1,0,1
Chestnut-eared Aracari,2,0,2
Chestnut-fronted Macaw,6,0,6
Chestnut-headed Crake,1,0,1
Chestnut-headed Oropendola,4,0,4
Chestnut-headed Tanager,6,0,6
Chestnut-hooded Laughingthrush,1,0,1
Chestnut-naped Antpitta,2,0,2
Chestnut-rumped Woodcreeper,1,0,1
Chestnut-sided Shrike-Vireo,4,0,4
Chestnut-sided Warbler,195,52,247
Chestnut-tailed Antbird,3,0,3
Chestnut-throated Huet-huet,1,0,1
Chestnut-throated Spinetail,1,0,1
Chestnut-vented Conebill,2,0,2
Chestnut-winged Babbler,1,0,1
Chestnut-winged Chachalaca,2,0,2
Chestnut-winged Cuckoo,4,0,4
Chiguanco Thrush,5,0,5
Chihuahuan Meadowlark,17,10,27
Chihuahuan Raven,2,0,2
Chilean Field Cricket,1,0,1
Chilean Flamingo,1,0,1
Chilean Flicker,3,0,3
Chilean Four-eyed Frog,12,0,12
Chilean Mockingbird,8,9,17
Chilean Swallow,3,0,3
Chiloe Island Ground Frog,1,0,1
Chimango Caracara,12,8,20
Chiming Wedgebill,3,0,3
Chimney Swift,103,100,203
Chimpanzee,2,0,2
Chinese Bamboo Partridge,11,0,11
Chinese Barbet,2,0,2
Chinese Blackbird,3,0,3
Chinese Francolin,5,0,5
Chinese Hwamei,47,26,73
Chinese Spiny Frog,1,0,1
Chinese Tree Toad,4,0,4
Chinese Water Deer,1,0,1
Chinspot Batis,1,0,1
Chipping Sparrow,369,100,469
Chiricahua Leopard Frog,1,0,1
Chirique-Flusse Tree Frog,2,0,2
Chirping Cicada,1,0,1
Chisos Cicada,2,0,2
Chitchi Cicada,3,0,3
Chivi Vireo,36,14,50
Chocó Poorwill,1,0,1
Chocó Screech-Owl,3,0,3
Chocó Tapaculo,2,0,2
Chocó Toucan,3,0,3
Chopí Blackbird,16,12,28
Chorister Robin-Chat,2,0,2
Chorus Cicada,7,14,21
Chotoy Spinetail,7,0,7
Chowchilla,1,0,1
Chucao Tapaculo,6,7,13
Chuck-will's-widow,275,100,375
Chukar,10,6,16
Cicada Cricket,21,0,21
Cinereous Antshrike,2,0,2
Cinereous Becard,1,0,1
Cinereous Conebill,1,0,1
Cinereous Mourner,3,0,3
Cinereous Tinamou,5,0,5
Cinereous Warbling-Finch,2,0,2
Cinereous-breasted Spinetail,2,0,2
Cinnabar Hawk-Owl,1,0,1
Cinnamon Attila,2,0,2
Cinnamon Dove,1,0,1
Cinnamon Flycatcher,2,0,2
Cinnamon Hummingbird,15,0,15
Cinnamon Screech-Owl,1,0,1
Cinnamon Tanager,1,0,1
Cinnamon-bellied Flowerpiercer,5,0,5
Cinnamon-bellied Imperial-Pigeon,1,0,1
Cinnamon-bellied Saltator,66,13,79
Cinnamon-breasted Tody-Tyrant,1,0,1
Cinnamon-faced Tyrannulet,1,0,1
Cinnamon-rumped Foliage-gleaner,2,0,2
Cinnamon-rumped Seedeater,6,0,6
Cinnamon-tailed Sparrow,1,0,1
Cinnamon-throated Woodcreeper,3,0,3
Cinnamon-vented Piha,2,0,2
Cipó Canastero,1,0,1
Cirl Bunting,61,68,129
Citreoline Trogon,6,0,6
Citrine Wagtail,1,0,1
Citron-bellied Attila,2,0,2
Citrus Cicada,6,0,6
Citrus Long-horned Beetle,1,0,1
Clanger,8,34,42
Clapper Rail,23,19,42
Clapping Cicada,4,0,4
Clark's Grebe,2,0,2
Clark's Nutcracker,46,30,76
Clay Bank Cicada,2,0,2
Clay-colored Sparrow,54,33,87
Clay-colored Thrush,123,61,184
Clicker Round-winged Katydid,4,0,4
Clicking Ambertail,14,0,14
Clicking Stream Frog,93,89,182
Cliff Chipmunk,1,0,1
Cliff Chirping Frog,28,0,28
Cliff Flycatcher,4,0,4
Cliff Swallow,37,20,57
Clock cicada,1,0,1
Cloud Cisticola,1,0,1
Cloud Forest Stream Frog,1,0,1
Cloud-forest Pygmy-Owl,2,0,2
Cloud-forest Screech-Owl,1,0,1
Clown Tree Frog,1,0,1
Coal Tit,256,100,356
Coal-crested Finch,1,0,1
Coastal Scissors Grinder Cicada,14,0,14
Coastal Snouted Tree Frog,4,0,4
Cobalt-winged Parakeet,2,0,2
Cochran's Hatchet-faced Tree Frog,1,0,1
Cockatiel,4,0,4
Cocoa Thrush,3,0,3
Cocoa Woodcreeper,8,0,8
Cogger's Frog,2,0,2
Coleto,2,0,2
Colima Pygmy-Owl,3,0,3
Colima Warbler,3,0,3
Collared Aracari,10,5,15
Collared Bush-Robin,5,0,5
Collared Crescentchest,4,0,4
Collared Finchbill,1,0,1
Collared Flycatcher,24,49,73
Collared Forest Falcon,47,20,67
Collared Ground Cricket,1,0,1
Collared Kingfisher,20,13,33
Collared Owlet,3,0,3
Collared Peccary,1,0,1
Collared Plover,2,0,2
Collared Puffbird,2,0,2
Collared Redstart,1,0,1
Collared Scops Owl,36,31,67
Collared Sparrowhawk,2,0,2
Collared Sunbird,1,0,1
Collared Towhee,2,0,2
Collared Trogon,7,0,7
Collared Tuco-tuco,1,0,1
Collinses' Mountain Chorus Frog,6,0,6
Colombian Chachalaca,15,0,15
Colombian Red Howler Monkey,7,0,7
Colombian Thin-toed Frog,1,0,1
Columbian Ground Squirrel,2,0,2
Columbian Trig,14,0,14
Common Barking Gecko,2,0,2
Common Big-headed Frog,1,0,1
Common Black-Hawk,8,0,8
Common Bromeliad Treefrog,1,0,1
Common Bronzewing,33,30,63
Common Brushtail,11,16,27
Common Bulbul,18,20,38
Common Buttonquail,1,0,1
Common Buzzard,180,100,280
Common Cactus Dodger,3,0,3
Common Chiffchaff,1000,100,1100
Common Chlorospingus,5,0,5
Common Cicada,41,24,65
Common Cicadabird,2,0,2
Common Coqui,58,75,133
Common Crane,139,100,239
Common Cuckoo,570,100,670
Common Diuca-Finch,7,0,7
Common Diving-Petrel,2,0,2
Common Dormouse,1,0,1
Common Eastern Froglet,377,100,477
Common Eastern Requena,1,0,1
Common Eider,4,0,4
Common European Greenbottle Fly,1,0,1
Common Field Grasshopper,18,48,66
Common Firecrest,99,100,199
Common Flameback,4,0,4
Common Gallinule,39,19,58
Common Garter Snake,1,0,1
Common Goldeneye,8,0,8
Common Grackle,297,100,397
Common Green Grasshopper,12,14,26
Common Greenshank,13,20,33
Common Ground-Dove,18,27,45
Common Gull,15,10,25
Common Hawk-Cuckoo,11,0,11
Common Hedgehog,1,0,1
Common Hill Myna,11,30,41
Common Hippopotamus,3,0,3
Common Hoopoe,84,100,184
Common House Gecko,1,0,1
Common Indian Toad,24,13,37
Common Iora,15,11,26
Common Kestrel,60,89,149
Common Kingfisher,33,57,90
Common Lesser Escuerzo,2,0,2
Common Long-legged Bush-cricket,1,0,1
Common Loon,130,92,222
Common Marmoset,2,0,2
Common Meadow Katydid,4,0,4
Common Merganser,12,0,12
Common Midwife Toad,31,39,70
Common Mistfrog,4,0,4
Common Moorhen,65,50,115
Common Murre,3,0,3
Common Mynah,74,54,128
Common Nighthawk,222,100,322
Common Nightingale,677,100,777
Common Paradise-Kingfisher,1,0,1
Common Parsley Frog,8,0,8
Common Pauraque,92,66,158
Common Peafowl,13,17,30
Common Pipistrelle,13,15,28
Common Pochard,1,0,1
Common Poorwill,87,51,138
Common Porcupine,14,0,14
Common Potoo,27,6,33
Common Quail,112,100,212
Common Raccoon,32,16,48
Common Rain Frog,5,0,5
Common Raven,912,100,1012
Common Redpoll,37,14,51
Common Redshank,9,23,32
Common Redstart,230,100,330
Common Reed Frog,1,0,1
Common Rhebok,1,0,1
Common Ringed Plover,5,0,5
Common Ringtail Possum,2,0,2
Common River Frog,10,0,10
Common Rocket Frog,2,0,2
Common Rosefinch,107,97,204
Common Sandpiper,43,56,99
Common Saw Bush-cricket,15,0,15
Common Scale-backed Antbird,2,0,2
Common Scimitarbill,1,0,1
Common Shag,1,0,1
Common Shelduck,1,0,1
Common Short-tailed Cricket,1,0,1
Common Short-wing Katydid,1,0,1
Common Snipe,34,46,80
Common Spadefoot,2,0,2
Common Square-tailed Drongo,2,0,2
Common Squeaker,3,0,3
Common Swee Waxbill,1,0,1
Common Swift,243,100,343
Common Tailorbird,50,78,128
Common Teal,32,19,51
Common Tern,24,17,41
Common Tody-Flycatcher,15,0,15
Common Tree Frog,3,0,3
Common True Katydid,281,100,381
Common Waxbill,14,15,29
Common Whistling Moth,1,0,1
Common Woodshrike,1,0,1
Common Woolly Monkey,1,0,1
Common Yellowthroat,685,100,785
Common garden katydid,4,0,4
Common skittering frog,1,0,1
Confused Sand frog,5,0,5
Confusing Pygmy Cricket,1,0,1
Connecticut Warbler,24,11,35
Convict Tree Frog,1,0,1
Cook's Robber Frog,1,0,1
Coolah Grass Buzzer,3,0,3
Cooper's Hawk,156,100,256
Coorg Yellow Bush Frog,1,0,1
Copan Stream Frog,1,0,1
Cope's Gray Treefrog,506,100,606
Copper Sunbird,1,0,1
Copper-backed Broodfrog,5,0,5
Copper-rumped Hummingbird,1,0,1
Coppersmith Barbet,14,63,77
Coraya Wren,7,0,7
Cordillera central tree frog,1,0,1
Cordilleran Canastero,1,0,1
Cordilleran Parakeet,1,0,1
Corn Bunting,95,100,195
Corn Crake,178,100,278
Correndera Pipit,4,0,4
Corroboree cicada,6,0,6
Corsican Finch,2,0,2
Coruro,1,0,1
Cory's Shearwater,6,0,6
Coscoroba Swan,2,0,2
Costa's Hummingbird,11,9,20
Cottian Toothed Grasshopper,2,0,2
Cotton-green Cicada,2,0,2
Cotton-headed Tamarin,1,0,1
Couch's Kingbird,39,24,63
Couch's Spadefoot,35,0,35
Coyote,388,100,488
Coypu,5,0,5
Cozumel Vireo,1,0,1
Crab-eating Frog,2,0,2
Crab-eating Macaque,2,0,2
Crackling Forest Grasshopper,4,0,4
Crane Hawk,2,0,2
Crawfish Frog,26,0,26
Creaking Branch Cicada,20,6,26
Cream-colored Woodpecker,2,0,2
Cream-vented Bulbul,1,0,1
Creamy-bellied Antwren,1,0,1
Creamy-bellied Thrush,27,9,36
Creamy-crested Spinetail,1,0,1
Creosote Bush Grasshopper,1,0,1
Creosote Bush Katydid,1,0,1
Crescent Honeyeater,22,28,50
Crescent-chested Warbler,6,10,16
Crested Ant-Tanager,2,0,2
Crested Barbet,9,10,19
Crested Becard,3,0,3
Crested Bellbird,2,0,2
Crested Bobwhite,9,0,9
Crested Capuchin,1,0,1
Crested Caracara,16,5,21
Crested Francolin,2,0,2
Crested Gallito,4,0,4
Crested Goshawk,3,0,3
Crested Guan,2,0,2
Crested Hawk-Eagle,5,22,27
Crested Hornero,2,0,2
Crested Lark,12,24,36
Crested Myna,4,0,4
Crested Oropendola,12,10,22
Crested Owl,1,0,1
Crested Pigeon,4,0,4
Crested Pitohui,1,0,1
Crested Satinbird,1,0,1
Crested Serpent Eagle,33,27,60
Crested Tit,103,100,203
Cretan Cicada,10,0,10
Cretzschmar's Bunting,2,0,2
Cri-cri tree cricket,5,0,5
Crimson Bullet,1,0,1
Crimson Rosella,59,60,119
Crimson Sunbird,2,0,2
Crimson Topaz,1,0,1
Crimson-backed Tanager,5,0,5
Crimson-breasted Flowerpecker,1,0,1
Crimson-breasted Gonolek,1,0,1
Crimson-collared Grosbeak,1,0,1
Crimson-collared Tanager,2,0,2
Crimson-crested Woodpecker,2,0,2
Crimson-crowned Fruit-Dove,1,0,1
Crimson-fronted Parakeet,1,0,1
Crimson-hooded Manakin,1,0,1
Crimson-mantled Woodpecker,4,0,4
Crissal Thrasher,8,10,18
Croaking Cisticola,1,0,1
Croaking Ground-Dove,1,0,1
Crop Duster,1,0,1
Crotch's Bumble Bee,1,0,1
Crowned Eagle,4,0,4
Crowned Hornbill,3,0,3
Crowned Lapwing,1,0,1
Crowned Slaty Flycatcher,2,0,2
Crowned Solitary Eagle,2,0,2
Crowned bullfrog,1,0,1
Cryptic Forest-Falcon,2,0,2
Cuban Black-Hawk,1,0,1
Cuban Blackbird,4,0,4
Cuban Crow,2,0,2
Cuban Emerald,1,0,1
Cuban Gnatcatcher,2,0,2
Cuban Grassquit,4,0,4
Cuban Green Woodpecker,3,0,3
Cuban Groin-spot Frog,1,0,1
Cuban Ground Cricket,1,0,1
Cuban Martin,1,0,1
Cuban Oriole,3,0,3
Cuban Pewee,4,0,4
Cuban Pygmy-Owl,4,0,4
Cuban Solitaire,1,0,1
Cuban Tody,4,0,4
Cuban Treefrog,26,26,52
Cuban Vireo,4,0,4
Culpeo,1,0,1
Cumberland Ambertail,50,0,50
Cundinamarca Antpitta,1,0,1
Curl-crested Jay,8,0,8
Cururu Toad,2,0,2
Curve-billed Reedhaunter,4,0,4
Curve-billed Thrasher,84,66,150
Curve-tailed Bush Katydid,2,0,2
Curve-tailed Plump Bush-cricket,2,0,2
Cuzco Brush-Finch,1,0,1
Cyprian Green Toad,1,0,1
Córdoba Tree Frog,3,0,3
Dainty Green Tree Frog,10,15,25
Dark Bush-cricket,36,92,128
Dark Flower Scarab,1,0,1
Dark Hawk-Cuckoo,1,0,1
Dark-backed Weaver,2,0,2
Dark-billed Cuckoo,8,0,8
Dark-breasted Spinetail,3,0,3
Dark-eyed Junco,472,100,572
Dark-necked Tailorbird,4,0,4
Dark-throated Seedeater,5,0,5
Darwin Whiner,1,0,1
Darwin's Frog,1,0,1
Daubenton's bat,4,0,4
Daurian Partridge,1,0,1
Daurian Redstart,4,0,4
Daurian Starling,1,0,1
Davis's Southeastern Dog-day Cicada,27,12,39
Davis's Tree Cricket,2,0,2
De Brazza’s Monkey,1,0,1
De Villiers's Moss Frog,29,31,60
De Witte's Spiny Reed Frog,1,0,1
Decula Periodical Cicada,100,0,100
Degu,1,0,1
Delicate Ambertail,3,0,3
Delicate Prinia,1,0,1
Delicate Spiny Reed Frog,4,0,4
Demidoff's Dwarf Galago,1,0,1
Demoiselle Crane,2,0,2
Deppe's Squirrel,3,0,3
Des Murs's Wiretail,2,0,2
Desert Clicker Grasshopper,7,0,7
Desert Cricket,4,0,4
Desert Froglet,2,0,2
Desert Monitor,1,0,1
Desert Owl,1,0,1
Desert Screamer,1,0,1
Desert Tree Frog,5,8,13
Desmarest's Hutia,2,0,2
Dharug Squeaker,5,0,5
Diademed Tanager,2,0,2
Diademed Tapaculo,1,0,1
Diamantina Tapaculo,1,0,1
Diard's Trogon,1,0,1
Dickcissel,120,68,188
Dideric Cuckoo,5,0,5
Different-horned tree cricket,4,0,4
Dimorphic Fantail,1,0,1
Dinelli's Doradito,3,0,3
Distinctive scaly cricket,1,0,1
Dja River Swamp-Warbler,3,0,3
Dodd's Bunyip,1,0,1
Dollarbird,4,0,4
Domestic Cat,14,24,38
Domestic Cattle,1,0,1
Domestic Dog,8,9,17
Domestic Sheep,1,0,1
Dominican Gull,8,11,19
Dot-backed Antbird,1,0,1
Dot-winged Antwren,2,0,2
Dot-winged Crake,3,0,3
Double Drummer,82,16,98
Double-banded Plover,1,0,1
Double-banded Pygmy-Tyrant,3,0,3
Double-collared Seedeater,10,0,10
Double-crested Cormorant,11,0,11
Double-spurred Francolin,1,0,1
Double-striped Thick-knee,2,0,2
Double-toothed Kite,1,0,1
Douglas' Squirrel,43,48,91
Downy Woodpecker,222,100,322
Drab Whistler,1,0,1
Drab-breasted Pygmy-Tyrant,4,0,4
Drakenstein Moss Frog,2,0,2
Drewes' moss frog,6,0,6
Dry Forest Toad,1,0,1
Dubois's Seedeater,1,0,1
Dugand's Antwren,2,0,2
Dull-capped Attila,3,0,3
Dull-colored Grassquit,5,0,5
Dumeril's Striped Frog,16,9,25
Dune Ticker Cicada,2,0,2
Dunlin,6,0,6
Dunnock,176,100,276
Dusky Antbird,6,0,6
Dusky Flycatcher,35,9,44
Dusky Fulvetta,22,5,27
Dusky Grouse,4,0,4
Dusky Hummingbird,1,0,1
Dusky Long-tailed Cuckoo,2,0,2
Dusky Moorhen,5,0,5
Dusky Nightjar,1,0,1
Dusky Parrot,1,0,1
Dusky Spinetail,1,0,1
Dusky Tapaculo,1,0,1
Dusky Warbler,11,6,17
Dusky-blue Flycatcher,1,0,1
Dusky-capped Flycatcher,17,22,39
Dusky-capped Greenlet,2,0,2
Dusky-chested Flycatcher,3,0,3
Dusky-green Oropendola,1,0,1
Dusky-legged Guan,9,0,9
Dusky-tailed Antbird,6,0,6
Dusky-tailed Canastero,2,0,2
Dusky-tailed Flatbill,1,0,1
Dusky-throated Antshrike,2,0,2
Dwarf Dainty Frog,30,16,46
Dwarf Jungle Frog,1,0,1
Dwarf Periodical Cicada,185,8,193
Dwarf Reed Frog,1,0,1
Dwarf Snouted Tree Frog,2,0,2
Dwarf Squeaker,4,0,4
Dwarf Tinamou,1,0,1
Dwarf Tree Frog,6,0,6
Dwarf Tyrant-Manakin,4,0,4
Dwarf Vireo,4,0,4
Eared Dove,16,0,16
Eared Grebe,3,0,3
Eared Poorwill,4,0,4
Eared Pygmy-Tyrant,4,0,4
East Aegean Cicada,7,17,24
East Amazonian Fire-eye,1,0,1
East Asian Bullfrog,6,0,6
East Brazilian Chachalaca,2,0,2
East-Four-lined Ratsnake,1,0,1
Eastern Banded Grasshopper,1,0,1
Eastern Black-tailed Rattlesnake,1,0,1
Eastern Bluebird,121,100,221
Eastern Bonelli's Warbler,1,0,1
Eastern Bristlebird,12,0,12
Eastern Cane Toad,11,11,22
Eastern Carpenter Bee,2,0,2
Eastern Chipmunk,241,100,341
Eastern Clapper Lark,1,0,1
Eastern Comma,1,0,1
Eastern Crowned-Warbler,7,0,7
Eastern Dwarf Treefrog,32,20,52
Eastern Flat-backed Toad,7,0,7
Eastern Ghost Frog,9,0,9
Eastern Giant Toad,1,0,1
Eastern Glass Frog,1,0,1
Eastern Gray Squirrel,255,100,355
Eastern Grey Kangaroo,2,0,2
Eastern Kingbird,82,52,134
Eastern Long-tailed Hornbill,2,0,2
Eastern Meadowlark,212,100,312
Eastern Narrow-mouthed Toad,284,100,384
Eastern Nicator,1,0,1
Eastern Olivaceous Warbler,6,9,15
Eastern Phoebe,315,100,415
Eastern Red Bat,1,0,1
Eastern Roe Deer,2,0,2
Eastern Rosella,23,20,43
Eastern Scissors Grinder Cicada,18,0,18
Eastern Screech-Owl,279,100,379
Eastern Shrike-tit,1,0,1
Eastern Sign-bearing Froglet,10,15,25
Eastern Slaty Thrush,6,0,6
Eastern Smooth Frog,24,31,55
Eastern Spadefoot,22,11,33
Eastern Spinebill,24,35,59
Eastern Spot-billed Duck,1,0,1
Eastern Stripe-headed Cricket,2,0,2
Eastern Striped Cricket,4,0,4
Eastern Timber Wolf,2,0,2
Eastern Towhee,822,100,922
Eastern Trilling Cricket,9,0,9
Eastern Whip-poor-will,330,100,430
Eastern Whipbird,109,100,209
Eastern Wood-Pewee,538,100,638
Eastern Yellow Robin,65,87,152
Eastern horse cicada,22,26,48
Eastern puddle frog,2,0,2
Eastern-Japanese Common Toad,1,0,1
Ecuadorian Thrush,2,0,2
Ecuadorian Tyrannulet,1,0,1
Edible Dormouse,7,0,7
Egg-eating Spiny-backed Frog,2,0,2
Egyptian Goose,34,27,61
Egyptian Rousette,2,0,2
Ehrhardt's Tree Frog,1,0,1
Eiffinger's Tree Frog,9,0,9
Elegant Bush Katydid,1,0,1
Elegant Crescentchest,1,0,1
Elegant Crested Tinamou,1,0,1
Elegant Euphonia,4,0,4
Elegant Forest Tree Frog,1,0,1
Elegant Quail,3,0,3
Elegant Tern,7,0,7
Elegant Tit,2,0,2
Elegant Trogon,11,19,30
Eleonora's Falcon,1,0,1
Elf Owl,15,13,28
Elk,17,10,27
Emei Leaf-Warbler,1,0,1
Emerald Forest Frog,8,0,8
Emerald Hummingbird,1,0,1
Emerald-spotted Wood-Dove,7,0,7
Emilio's Ground Frog,3,0,3
Emma Field Cricket,15,7,22
Emperor Fairywren,1,0,1
Emperor Gum Moth,1,0,1
Empress Cicada,1,0,1
Epaulet Oriole,1,0,1
Equatorial Antpitta,2,0,2
Equatorial Graytail,1,0,1
Eritrea Clawed Frog,1,0,1
Esmeraldas Antbird,2,0,2
Esmereldas Robber Frog,3,0,3
Euler's Flycatcher,10,0,10
Eurasian Beaver,2,0,2
Eurasian Bittern,34,52,86
Eurasian Black Grouse,6,0,6
Eurasian Blackbird,1000,100,1100
Eurasian Bullfinch,144,100,244
Eurasian Collared-Dove,246,100,346
Eurasian Coot,152,100,252
Eurasian Crag Martin,8,0,8
Eurasian Curlew,50,46,96
Eurasian Dotterel,2,0,2
Eurasian Eagle-Owl,65,68,133
Eurasian Golden Oriole,409,100,509
Eurasian Goldfinch,502,100,602
Eurasian Hobby,23,18,41
Eurasian Jackdaw,155,100,255
Eurasian Jay,349,100,449
Eurasian Lynx,2,0,2
